date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2012-06-15,000030,26330165248.0,1560.19,1339689600.0,0,1569.76,1538.78,1562.21,0,232760.0,232760.0
2012-06-18,000030,21894252544.0,1566.96,1339948800.0,0,1574.95,1561.24,1561.24,0,186735.0,186735.0
2012-06-19,000030,19778838528.0,1551.78,1340035200.0,0,1564.38,1549.58,1564.38,0,177154.0,177154.0
2012-06-20,000030,18266843136.0,1544.73,1340121600.0,0,1558.37,1542.47,1555.19,0,162619.0,162619.0
2012-06-21,000030,18942842880.0,1519.78,1340208000.0,0,1541.58,1514.03,1541.58,0,177873.0,177873.0
2012-06-25,000030,21508016128.0,1482.23,1340553600.0,0,1513.58,1480.46,1513.31,0,202633.0,202633.0
2012-06-26,000030,17388378112.0,1481.15,1340640000.0,0,1487.11,1466.19,1475.58,0,165474.0,165474.0
2012-06-27,000030,16373402624.0,1476.26,1340726400.0,0,1492.01,1473.84,1479.05,0,157379.0,157379.0
2012-06-28,000030,18010851328.0,1454.78,1340812800.0,0,1482.88,1454.41,1478.84,0,157070.0,157070.0
2012-06-29,000030,20385101824.0,1477.89,1340899200.0,0,1478.74,1444.42,1447.95,0,188191.0,188191.0
2012-07-02,000030,23141738496.0,1481.26,1341158400.0,0,1488.55,1473.55,1485.79,0,198736.0,198736.0
2012-07-03,000030,22460499968.0,1483.24,1341244800.0,0,1495.65,1475.09,1480.05,0,190536.0,190536.0
2012-07-04,000030,19350140928.0,1482.29,1341331200.0,0,1492.24,1472.96,1487.75,0,173454.0,173454.0
2012-07-05,000030,18703411200.0,1452.8,1341417600.0,0,1471.25,1446.48,1471.25,0,178200.0,178200.0
2012-07-06,000030,26923372544.0,1484.43,1341504000.0,0,1486.42,1448.35,1458.06,0,239317.0,239317.0
2012-07-09,000030,26424203264.0,1447.56,1341763200.0,0,1479.54,1446.67,1472.08,0,242968.0,242968.0
2012-07-10,000030,19192270848.0,1436.92,1341849600.0,0,1449.75,1435.25,1442.89,0,183712.0,183712.0
2012-07-11,000030,19727695872.0,1452.44,1341936000.0,0,1452.65,1433.23,1435.36,0,195257.0,195257.0
2012-07-12,000030,31810768896.0,1468.86,1342022400.0,0,1475.76,1436.85,1447.98,0,283323.0,283323.0
2012-07-13,000030,20252026880.0,1465.56,1342108800.0,0,1479.09,1459.61,1463.3,0,179442.0,179442.0
2012-07-16,000030,22777643008.0,1429.98,1342368000.0,0,1468.91,1429.86,1468.44,0,209562.0,209562.0
2012-07-17,000030,19258310656.0,1436.3,1342454400.0,0,1441.49,1421.93,1423.29,0,170170.0,170170.0
2012-07-18,000030,23059640320.0,1439.53,1342540800.0,0,1441.65,1411.29,1433.99,0,217229.0,217229.0
2012-07-19,000030,24492402688.0,1444.56,1342627200.0,0,1458.96,1431.58,1435.21,0,245843.0,245843.0
2012-07-20,000030,18372165632.0,1429.55,1342713600.0,0,1448.15,1424.77,1439.34,0,185554.0,185554.0
2012-07-23,000030,16668605440.0,1414.07,1342972800.0,0,1421.51,1404.9,1418.59,0,165327.0,165327.0
2012-07-24,000030,15566706688.0,1422.8,1343059200.0,0,1434.7,1405.18,1405.18,0,156056.0,156056.0
2012-07-25,000030,12884531200.0,1415.85,1343145600.0,0,1427.95,1412.58,1418.39,0,124500.0,124500.0
2012-07-26,000030,15692206080.0,1406.77,1343232000.0,0,1427.26,1405.73,1416.5,0,153659.0,153659.0
2012-07-27,000030,16684558336.0,1405.47,1343318400.0,0,1416.57,1402.0,1411.49,0,155307.0,155307.0
2012-07-30,000030,15010200576.0,1393.07,1343577600.0,0,1417.35,1390.25,1406.72,0,151204.0,151204.0
